imdb_id,tmbd_id,title,mpa,genre,runtime,release_date,producion_company,revenue,budget,vote_average,vote_count,popularity,director,director_gender
tt0104454,8293,Howards End,PG,Drama,142,1992-03-13,Merchant Ivory Productions,26126837,8000000,7.054,482,18.008,James Ivory,Male
tt0103919,9529,Candyman,R,Drama,100,1992-10-16,Propaganda Films,25792310,6000000,6.61,1484,22.491,Bernard Rose,Male
tt0104040,16562,The Cutting Edge,PG,Romance,101,1992-03-27,Interscope Communications,25105517,NA,7.15,309,18.999,Paul Michael Glaser,Male
tt0104254,13225,FernGully: The Last Rainforest,G,Family,76,1992-04-10,Kroyer Films,32710894,24000000,6.335,535,16.728,Bill Kroyer,NA
tt0104427,10410,Hoffa,R,Crime,140,1992-12-25,Jersey Films,24276506,35000000,6.3,293,10.154,Danny DeVito,Male
tt0104695,12772,Leap of Faith,PG-13,Comedy,108,1992-12-18,Paramount,23400000,20000000,5.696,189,13.908,Richard Pearce,Male
tt0105629,11597,Toys,PG-13,Family,118,1992-12-18,Baltimore Pictures,23278931,50000000,5.24,511,13.688,Barry Levinson,Male
tt0105585,12395,Thunderheart,R,Crime,119,1992-04-03,TriStar Pictures,22660758,NA,6.28,243,14.151,Michael Apted,Male
tt0103924,14361,Captain Ron,PG-13,Adventure,100,1992-09-18,Touchstone Pictures,22518097,24000000,5.594,271,11.255,Thom Eberhardt,Male
tt0105151,10403,The Player,R,Mystery,124,1992-04-03,Fine Line Features,21706101,8000000,7.193,741,14.894,Robert Altman,Male
tt0105391,31962,Shining Through,R,Drama,132,1992-01-31,Peter V. Miller Investment Corp.,43800000,35000000,6.538,182,12.351,David Seltzer,Male
tt0104006,37753,Consenting Adults,R,Thriller,99,1992-10-16,Permut Presentations,21591728,18000000,5.373,138,11.95,Alan J. Pakula,Male
tt0105217,13937,Raising Cain,R,Thriller,92,1992-08-07,Pacific Western,37170057,12000000,6,318,13.404,Brian De Palma,Male
tt0105481,37264,Straight Talk,PG,Comedy,91,1992-04-03,Hollywood Pictures,21202099,NA,5.978,68,7.151,Barnet Kellman,Male
tt0104647,14603,Kuffs,PG-13,Action,102,1992-01-10,Universal Pictures,21100000,10000000,5.8,189,11.242,Bruce A. Evans,Male
tt0104926,18722,Mr. Baseball,PG-13,Comedy,108,1992-10-01,Universal Pictures,20000000,NA,5.8,127,13.219,Fred Schepisi,Male
tt0104573,16136,Juice,R,Crime,96,1992-01-17,Paramount,20146880,5000000,7.2,367,17.865,Ernest R. Dickerson,Male
tt0105165,2613,Prelude to a Kiss,PG-13,Drama,105,1992-07-10,Gruskoff/Levy Company,22697691,NA,5.565,108,7.865,Norman René,Male
tt0104412,10699,Hero,PG-13,Comedy,117,1992-10-02,Columbia Pictures,19507345,42000000,6.4,426,16.913,Stephen Frears,Male
tt0105415,11068,Singles,PG-13,Comedy,99,1992-09-18,Atkinson/Knickerbocker Productions,18472850,NA,6.357,349,16.616,Cameron Crowe,Male
tt0105706,41779,Used People,PG-13,Comedy,115,1992-12-16,Largo Entertainment,17957265,NA,5.42,25,2.311,Beeban Kidron,Female
tt0103747,61225,The Babe,PG,Drama,115,1992-04-17,Waterhorse Productions,17530973,NA,5.554,138,9.471,Arthur Hiller,Male
tt0104299,9278,Freejack,R,Science Fiction,110,1992-01-17,Morgan Creek Entertainment,17129026,30000000,5.4,292,14.446,Geoff Murphy,Male
tt0105128,10906,Pet Sematary II,R,Horror,100,1992-08-28,Paramount,17092453,8000000,5.385,490,23.057,Mary Lambert,Female
tt0104073,20676,Deep Cover,R,Action,108,1992-04-15,Image Organization,16639799,NA,6.687,190,13.187,Bill Duke,Male
tt0103893,10206,Buffy the Vampire Slayer,PG-13,Action,86,1992-07-24,Sandollar,16624456,7000000,5.602,755,20.38,Fran Rubel Kuzui,Female
tt0105191,22627,Pure Country,PG,Drama,112,1992-10-23,NA,15164458,NA,7.07,71,11.814,Christopher Cain,Male
tt0104670,19087,Ladybugs,PG-13,Comedy,90,1992-03-27,Paramount,14800000,20000000,5.649,154,11.335,Sidney J. Furie,Male
tt0105327,14684,School Ties,PG-13,Drama,106,1992-09-18,Paramount,14700000,18000000,6.5,366,14.095,Robert Mandel,Male
tt0103976,47821,City of Joy,PG-13,Drama,132,1992-04-15,TriStar Pictures,14683921,27000000,6.6,146,8.666,Roland Joffé,Male
tt0104850,2687,Memoirs of an Invisible Man,PG-13,Science Fiction,99,1992-02-28,Warner Bros. Pictures,14358033,40000000,5.886,527,12.45,John Carpenter,Male
tt0105219,13153,Rapid Fire,R,Action,95,1992-08-21,20th Century Fox,14356479,10000000,6.408,211,15.217,Dwight H. Little,Male
tt0104009,14239,Cool World,PG-13,Animation,102,1992-07-10,Paramount,14100000,30000000,5.498,663,27.323,Ralph Bakshi,Male
tt0104928,54087,Mr. Saturday Night,R,Comedy,119,1992-09-23,New Line Cinema,13300000,43000000,5.8,51,5.437,Billy Crystal,Male
tt0103978,30963,Class Act,PG-13,Comedy,98,1992-06-05,Warner Bros. Pictures,13272113,NA,6.046,97,11.238,Randall Miller,Male
tt0105636,22004,Trespass,R,Action,101,1992-12-25,Universal Pictures,13249535,14000000,6.257,175,11.254,Walter Hill,Male
tt0101811,26561,Enchanted April,PG,Romance,89,1991-11-06,BBC Film,13200170,NA,6.557,61,7.459,Mike Newell,Male
tt0103671,13199,American Me,R,Crime,125,1992-03-13,YOY,13100000,16000000,7.348,332,20.046,Edward James Olmos,Male
tt0104409,11569,Hellraiser III: Hell on Earth,R,Horror,97,1992-09-11,Dimension Films,12534961,5000000,5.6,691,21.192,Anthony Hickox,Male
tt0105483,41670,A Stranger Among Us,PG-13,Crime,110,1992-07-17,Hollywood Pictures,2960000,NA,5.478,91,9.908,Sidney Lumet,Male
tt0102802,20421,Rock-A-Doodle,G,Comedy,77,1991-08-02,Goldcrest,11657385,18000000,6.232,259,17.108,Don Bluth,Male
tt0104549,10424,Jennifer Eight,R,Crime,124,1992-11-06,Paramount,11390479,20000000,6.04,329,18.425,Bruce Robinson,Male
tt0105811,88174,Whispers in the Dark,R,Mystery,103,1992-08-06,Paramount,11124122,30000000,5.1,38,5.888,Christopher Crowe,Male
tt0105466,23939,Stay Tuned,PG,Comedy,87,1992-08-14,Morgan Creek Entertainment,10736401,25000000,6.09,155,9.179,Peter Hyams,Male
tt0104348,9504,Glengarry Glen Ross,R,Crime,100,1992-09-15,Zupnik Cinema Group II,10725228,12500000,7.375,1251,15.676,James Foley,Male
tt0104466,28384,Husbands and Wives,R,Comedy,108,1992-09-18,TriStar Pictures,10555619,NA,7.024,414,13.184,Woody Allen,Male
tt0103939,10435,Chaplin,PG-13,Drama,143,1992-12-17,Carolco Pictures,9493259,31000000,7.436,994,24.297,Richard Attenborough,Male
tt0104346,16219,Gladiator,R,Action,101,1992-03-06,Price Entertainment,900000,NA,7.583,307,16.043,Rowdy Herrington,Male
tt0105813,19380,White Sands,R,Crime,101,1992-04-24,Morgan Creek Entertainment,9011574,22000000,5.875,144,9.448,Roger Donaldson,Male
tt0101625,27465,Once Upon a Crime,PG,Crime,94,1992-03-06,Ascot Film,3520427,18000000,5.667,85,10.836,Eugene Levy,Male
tt0103783,36616,Bebe's Kids,PG-13,Animation,72,1992-07-31,Paramount,8442162,NA,5.77,61,6.266,Bruce W. Smith,Male
